dataset,strategy,breakdown,group,top_k,total_examples,total_characters,top_k_correct_words,top_k_accuracy,saved_keystrokes,saved_keystroke_ratio
mobile_sms,s1,by_edit_type,deletion,1,13,72,4,0.3076923076923077,14,0.19444444444444445
mobile_sms,s1,by_edit_type,deletion,2,13,72,5,0.38461538461538464,17,0.2361111111111111
mobile_sms,s1,by_edit_type,deletion,3,13,72,6,0.46153846153846156,21,0.2916666666666667
mobile_sms,s1,by_edit_type,deletion,4,13,72,6,0.46153846153846156,21,0.2916666666666667
mobile_sms,s1,by_edit_type,insertion,1,32,150,32,1.0,30,0.2
mobile_sms,s1,by_edit_type,insertion,2,32,150,32,1.0,38,0.25333333333333335
mobile_sms,s1,by_edit_type,insertion,3,32,150,32,1.0,46,0.30666666666666664
mobile_sms,s1,by_edit_type,insertion,4,32,150,32,1.0,54,0.36
mobile_sms,s1,by_edit_type,substitution,1,25,125,22,0.88,41,0.328
mobile_sms,s1,by_edit_type,substitution,2,25,125,24,0.96,53,0.424
mobile_sms,s1,by_edit_type,substitution,3,25,125,25,1.0,58,0.464
mobile_sms,s1,by_edit_type,substitution,4,25,125,25,1.0,63,0.504
mobile_sms,s1,by_edit_type,transposition,1,28,147,23,0.8214285714285714,52,0.35374149659863946
mobile_sms,s1,by_edit_type,transposition,2,28,147,26,0.9285714285714286,60,0.40816326530612246
mobile_sms,s1,by_edit_type,transposition,3,28,147,26,0.9285714285714286,61,0.41496598639455784
mobile_sms,s1,by_edit_type,transposition,4,28,147,26,0.9285714285714286,63,0.42857142857142855
mobile_sms,s1,by_edit_operation,deletion,1,13,72,4,0.3076923076923077,14,0.19444444444444445
mobile_sms,s1,by_edit_operation,deletion,2,13,72,5,0.38461538461538464,17,0.2361111111111111
mobile_sms,s1,by_edit_operation,deletion,3,13,72,6,0.46153846153846156,21,0.2916666666666667
mobile_sms,s1,by_edit_operation,deletion,4,13,72,6,0.46153846153846156,21,0.2916666666666667
mobile_sms,s1,by_edit_operation,insertion,1,32,150,32,1.0,30,0.2
mobile_sms,s1,by_edit_operation,insertion,2,32,150,32,1.0,38,0.25333333333333335
mobile_sms,s1,by_edit_operation,insertion,3,32,150,32,1.0,46,0.30666666666666664
mobile_sms,s1,by_edit_operation,insertion,4,32,150,32,1.0,54,0.36
mobile_sms,s1,by_edit_operation,substitution,1,25,125,22,0.88,41,0.328
mobile_sms,s1,by_edit_operation,substitution,2,25,125,24,0.96,53,0.424
mobile_sms,s1,by_edit_operation,substitution,3,25,125,25,1.0,58,0.464
mobile_sms,s1,by_edit_operation,substitution,4,25,125,25,1.0,63,0.504
mobile_sms,s1,by_edit_operation,transposition,1,28,147,23,0.8214285714285714,52,0.35374149659863946
mobile_sms,s1,by_edit_operation,transposition,2,28,147,26,0.9285714285714286,60,0.40816326530612246
mobile_sms,s1,by_edit_operation,transposition,3,28,147,26,0.9285714285714286,61,0.41496598639455784
mobile_sms,s1,by_edit_operation,transposition,4,28,147,26,0.9285714285714286,63,0.42857142857142855
mobile_sms,s1,by_context_bin,1-2,1,8,36,7,0.875,7,0.19444444444444445
mobile_sms,s1,by_context_bin,1-2,2,8,36,7,0.875,10,0.2777777777777778
mobile_sms,s1,by_context_bin,1-2,3,8,36,7,0.875,11,0.3055555555555556
mobile_sms,s1,by_context_bin,1-2,4,8,36,7,0.875,11,0.3055555555555556
mobile_sms,s1,by_context_bin,11-20,1,29,153,21,0.7241379310344828,34,0.2222222222222222
mobile_sms,s1,by_context_bin,11-20,2,29,153,23,0.7931034482758621,42,0.27450980392156865
mobile_sms,s1,by_context_bin,11-20,3,29,153,23,0.7931034482758621,49,0.3202614379084967
mobile_sms,s1,by_context_bin,11-20,4,29,153,23,0.7931034482758621,54,0.35294117647058826
mobile_sms,s1,by_context_bin,21-50,1,11,56,10,0.9090909090909091,23,0.4107142857142857
mobile_sms,s1,by_context_bin,21-50,2,11,56,10,0.9090909090909091,27,0.48214285714285715
mobile_sms,s1,by_context_bin,21-50,3,11,56,10,0.9090909090909091,28,0.5
mobile_sms,s1,by_context_bin,21-50,4,11,56,10,0.9090909090909091,30,0.5357142857142857
mobile_sms,s1,by_context_bin,3-5,1,17,74,16,0.9411764705882353,21,0.28378378378378377
mobile_sms,s1,by_context_bin,3-5,2,17,74,17,1.0,27,0.36486486486486486
mobile_sms,s1,by_context_bin,3-5,3,17,74,17,1.0,28,0.3783783783783784
mobile_sms,s1,by_context_bin,3-5,4,17,74,17,1.0,30,0.40540540540540543
mobile_sms,s1,by_context_bin,6-10,1,33,175,27,0.8181818181818182,52,0.29714285714285715
mobile_sms,s1,by_context_bin,6-10,2,33,175,30,0.9090909090909091,62,0.35428571428571426
mobile_sms,s1,by_context_bin,6-10,3,33,175,32,0.9696969696969697,70,0.4
mobile_sms,s1,by_context_bin,6-10,4,33,175,32,0.9696969696969697,76,0.4342857142857143
mobile_sms,s2,by_edit_type,deletion+deletion,1,4,28,1,0.25,5,0.17857142857142858
mobile_sms,s2,by_edit_type,deletion+deletion,2,4,28,1,0.25,5,0.17857142857142858
mobile_sms,s2,by_edit_type,deletion+deletion,3,4,28,2,0.5,8,0.2857142857142857
mobile_sms,s2,by_edit_type,deletion+deletion,4,4,28,2,0.5,8,0.2857142857142857
mobile_sms,s2,by_edit_type,deletion+insertion,1,3,11,0,0.0,0,0.0
mobile_sms,s2,by_edit_type,deletion+insertion,2,3,11,2,0.6666666666666666,1,0.09090909090909091
mobile_sms,s2,by_edit_type,deletion+insertion,3,3,11,2,0.6666666666666666,3,0.2727272727272727
mobile_sms,s2,by_edit_type,deletion+insertion,4,3,11,2,0.6666666666666666,3,0.2727272727272727
mobile_sms,s2,by_edit_type,deletion+substitution,1,4,23,1,0.25,4,0.17391304347826086
mobile_sms,s2,by_edit_type,deletion+substitution,2,4,23,1,0.25,5,0.21739130434782608
mobile_sms,s2,by_edit_type,deletion+substitution,3,4,23,1,0.25,5,0.21739130434782608
mobile_sms,s2,by_edit_type,deletion+substitution,4,4,23,1,0.25,5,0.21739130434782608
mobile_sms,s2,by_edit_type,deletion+transposition,1,2,13,1,0.5,3,0.23076923076923078
mobile_sms,s2,by_edit_type,deletion+transposition,2,2,13,1,0.5,4,0.3076923076923077
mobile_sms,s2,by_edit_type,deletion+transposition,3,2,13,2,1.0,5,0.38461538461538464
mobile_sms,s2,by_edit_type,deletion+transposition,4,2,13,2,1.0,5,0.38461538461538464
mobile_sms,s2,by_edit_type,insertion+deletion,1,1,7,1,1.0,4,0.5714285714285714
mobile_sms,s2,by_edit_type,insertion+deletion,2,1,7,1,1.0,4,0.5714285714285714
mobile_sms,s2,by_edit_type,insertion+deletion,3,1,7,1,1.0,4,0.5714285714285714
mobile_sms,s2,by_edit_type,insertion+deletion,4,1,7,1,1.0,6,0.8571428571428571
mobile_sms,s2,by_edit_type,insertion+insertion,1,16,75,14,0.875,6,0.08
mobile_sms,s2,by_edit_type,insertion+insertion,2,16,75,16,1.0,11,0.14666666666666667
mobile_sms,s2,by_edit_type,insertion+insertion,3,16,75,16,1.0,13,0.17333333333333334
mobile_sms,s2,by_edit_type,insertion+insertion,4,16,75,16,1.0,13,0.17333333333333334
mobile_sms,s2,by_edit_type,insertion+substitution,1,4,13,3,0.75,0,0.0
mobile_sms,s2,by_edit_type,insertion+substitution,2,4,13,3,0.75,0,0.0
mobile_sms,s2,by_edit_type,insertion+substitution,3,4,13,4,1.0,4,0.3076923076923077
mobile_sms,s2,by_edit_type,insertion+substitution,4,4,13,4,1.0,4,0.3076923076923077
mobile_sms,s2,by_edit_type,insertion+transposition,1,4,28,2,0.5,4,0.14285714285714285
mobile_sms,s2,by_edit_type,insertion+transposition,2,4,28,3,0.75,4,0.14285714285714285
mobile_sms,s2,by_edit_type,insertion+transposition,3,4,28,3,0.75,5,0.17857142857142858
mobile_sms,s2,by_edit_type,insertion+transposition,4,4,28,3,0.75,6,0.21428571428571427
mobile_sms,s2,by_edit_type,substitution+deletion,1,5,36,0,0.0,0,0.0
mobile_sms,s2,by_edit_type,substitution+deletion,2,5,36,2,0.4,7,0.19444444444444445
mobile_sms,s2,by_edit_type,substitution+deletion,3,5,36,3,0.6,16,0.4444444444444444
mobile_sms,s2,by_edit_type,substitution+deletion,4,5,36,3,0.6,16,0.4444444444444444
