dataset,strategy,top_k,loaded_examples,evaluated_examples,skipped_oov_examples,total_characters,top_k_correct_words,top_k_accuracy,saved_keystrokes,saved_keystroke_ratio
tinystories,s1,1,1000,999,1,4766,900,0.9009009009009009,2198,0.4611833822912295
tinystories,s1,2,1000,999,1,4766,946,0.9469469469469469,2596,0.5446915652538816
tinystories,s1,3,1000,999,1,4766,963,0.963963963963964,2784,0.5841376416281997
tinystories,s1,4,1000,999,1,4766,970,0.970970970970971,2905,0.6095258078052874
tinystories,s2,1,1000,999,1,4766,778,0.7787787787787788,1668,0.3499790180444817
tinystories,s2,2,1000,999,1,4766,853,0.8538538538538538,2102,0.4410407049937054
tinystories,s2,3,1000,999,1,4766,887,0.8878878878878879,2343,0.4916072177926983
tinystories,s2,4,1000,999,1,4766,905,0.9059059059059059,2493,0.5230801510700798
tinystories,s3,1,1000,999,1,4766,784,0.7847847847847848,1673,0.35102811582039445
tinystories,s3,2,1000,999,1,4766,857,0.8578578578578578,2102,0.4410407049937054
tinystories,s3,3,1000,999,1,4766,891,0.8918918918918919,2342,0.4913973982375157
tinystories,s3,4,1000,999,1,4766,908,0.908908908908909,2497,0.5239194292908099
wikitext2,s1,1,1000,902,98,5748,661,0.7328159645232816,1496,0.2602644398051496
wikitext2,s1,2,1000,902,98,5748,737,0.8170731707317073,2007,0.34916492693110646
wikitext2,s1,3,1000,902,98,5748,764,0.8470066518847007,2265,0.3940501043841336
wikitext2,s1,4,1000,902,98,5748,772,0.8558758314855875,2398,0.41718858733472514
wikitext2,s2,1,1000,902,98,5748,505,0.5598669623059866,994,0.17292971468336812
wikitext2,s2,2,1000,902,98,5748,592,0.656319290465632,1385,0.24095337508698678
wikitext2,s2,3,1000,902,98,5748,641,0.7106430155210643,1598,0.27800974251913707
wikitext2,s2,4,1000,902,98,5748,658,0.729490022172949,1707,0.296972860125261
wikitext2,s3,1,1000,902,98,5748,517,0.573170731707317,1012,0.17606123869171886
wikitext2,s3,2,1000,902,98,5748,596,0.6607538802660754,1406,0.24460681976339596
wikitext2,s3,3,1000,902,98,5748,639,0.7084257206208425,1602,0.278705636743215
wikitext2,s3,4,1000,902,98,5748,653,0.7239467849223947,1718,0.2988865692414753
