dataset,strategy,top_k,loaded_examples,evaluated_examples,skipped_oov_examples,total_characters,top_k_correct_words,top_k_accuracy,saved_keystrokes,saved_keystroke_ratio
tinystories,s1,1,1000,999,1,4766,866,0.8668668668668669,2095,0.4395719681074276
tinystories,s1,2,1000,999,1,4766,911,0.9119119119119119,2474,0.5190935795216114
tinystories,s1,3,1000,999,1,4766,933,0.933933933933934,2642,0.5543432647922787
tinystories,s1,4,1000,999,1,4766,946,0.9469469469469469,2748,0.5765841376416282
tinystories,s2,1,1000,999,1,4766,746,0.7467467467467468,1692,0.35501468736886277
tinystories,s2,2,1000,999,1,4766,813,0.8138138138138138,2056,0.43138900545530845
tinystories,s2,3,1000,999,1,4766,845,0.8458458458458459,2242,0.47041544271926145
tinystories,s2,4,1000,999,1,4766,859,0.8598598598598599,2355,0.4941250524548888
tinystories,s3,1,1000,999,1,4766,748,0.7487487487487487,1695,0.3556441460344104
tinystories,s3,2,1000,999,1,4766,813,0.8138138138138138,2059,0.43201846412085604
tinystories,s3,3,1000,999,1,4766,847,0.8478478478478478,2245,0.4710449013848091
tinystories,s3,4,1000,999,1,4766,860,0.8608608608608609,2357,0.4945446915652539
wikitext2,s1,1,1000,902,98,5748,627,0.6951219512195121,1016,0.1767571329157968
wikitext2,s1,2,1000,902,98,5748,708,0.7849223946784922,1488,0.2588726513569937
wikitext2,s1,3,1000,902,98,5748,728,0.8070953436807096,1723,0.29975643702157273
wikitext2,s1,4,1000,902,98,5748,741,0.8215077605321508,1865,0.3244606819763396
wikitext2,s2,1,1000,902,98,5748,479,0.5310421286031042,663,0.11534446764091857
wikitext2,s2,2,1000,902,98,5748,561,0.6219512195121951,1009,0.1755393180236604
wikitext2,s2,3,1000,902,98,5748,599,0.664079822616408,1187,0.20650661099512874
wikitext2,s2,4,1000,902,98,5748,626,0.6940133037694013,1327,0.23086290883785665
wikitext2,s3,1,1000,902,98,5748,479,0.5310421286031042,661,0.11499652052887961
wikitext2,s3,2,1000,902,98,5748,563,0.6241685144124168,1011,0.17588726513569938
wikitext2,s3,3,1000,902,98,5748,598,0.6629711751662971,1187,0.20650661099512874
wikitext2,s3,4,1000,902,98,5748,623,0.6906873614190687,1322,0.22999304105775922
