dataset,strategy,breakdown,group,top_k,total_examples,total_characters,top_k_correct_words,top_k_accuracy,saved_keystrokes,saved_keystroke_ratio
wikitext2,s1,by_edit_type,deletion,1,204,1373,82,0.4019607843137255,358,0.2607428987618354
wikitext2,s1,by_edit_type,deletion,2,204,1373,102,0.5,461,0.33576110706482154
wikitext2,s1,by_edit_type,deletion,3,204,1373,111,0.5441176470588235,512,0.3729060451565914
wikitext2,s1,by_edit_type,deletion,4,204,1373,115,0.5637254901960784,540,0.3932993445010925
wikitext2,s1,by_edit_type,insertion,1,243,1482,220,0.9053497942386831,378,0.2550607287449393
wikitext2,s1,by_edit_type,insertion,2,243,1482,229,0.9423868312757202,490,0.33063427800269907
wikitext2,s1,by_edit_type,insertion,3,243,1482,232,0.9547325102880658,547,0.3690958164642375
wikitext2,s1,by_edit_type,insertion,4,243,1482,234,0.9629629629629629,575,0.38798920377867746
wikitext2,s1,by_edit_type,substitution,1,227,1436,186,0.8193832599118943,428,0.298050139275766
wikitext2,s1,by_edit_type,substitution,2,227,1436,206,0.9074889867841409,595,0.41434540389972147
wikitext2,s1,by_edit_type,substitution,3,227,1436,213,0.9383259911894273,663,0.4616991643454039
wikitext2,s1,by_edit_type,substitution,4,227,1436,213,0.9383259911894273,700,0.48746518105849584
wikitext2,s1,by_edit_type,transposition,1,228,1457,173,0.7587719298245614,387,0.2656142759094029
wikitext2,s1,by_edit_type,transposition,2,228,1457,202,0.8859649122807017,550,0.37748798901853126
wikitext2,s1,by_edit_type,transposition,3,228,1457,208,0.9122807017543859,621,0.42621825669183255
wikitext2,s1,by_edit_type,transposition,4,228,1457,208,0.9122807017543859,663,0.455044612216884
wikitext2,s1,by_edit_operation,deletion,1,204,1373,82,0.4019607843137255,358,0.2607428987618354
wikitext2,s1,by_edit_operation,deletion,2,204,1373,102,0.5,461,0.33576110706482154
wikitext2,s1,by_edit_operation,deletion,3,204,1373,111,0.5441176470588235,512,0.3729060451565914
wikitext2,s1,by_edit_operation,deletion,4,204,1373,115,0.5637254901960784,540,0.3932993445010925
wikitext2,s1,by_edit_operation,insertion,1,243,1482,220,0.9053497942386831,378,0.2550607287449393
wikitext2,s1,by_edit_operation,insertion,2,243,1482,229,0.9423868312757202,490,0.33063427800269907
wikitext2,s1,by_edit_operation,insertion,3,243,1482,232,0.9547325102880658,547,0.3690958164642375
wikitext2,s1,by_edit_operation,insertion,4,243,1482,234,0.9629629629629629,575,0.38798920377867746
wikitext2,s1,by_edit_operation,substitution,1,227,1436,186,0.8193832599118943,428,0.298050139275766
wikitext2,s1,by_edit_operation,substitution,2,227,1436,206,0.9074889867841409,595,0.41434540389972147
wikitext2,s1,by_edit_operation,substitution,3,227,1436,213,0.9383259911894273,663,0.4616991643454039
wikitext2,s1,by_edit_operation,substitution,4,227,1436,213,0.9383259911894273,700,0.48746518105849584
wikitext2,s1,by_edit_operation,transposition,1,228,1457,173,0.7587719298245614,387,0.2656142759094029
wikitext2,s1,by_edit_operation,transposition,2,228,1457,202,0.8859649122807017,550,0.37748798901853126
wikitext2,s1,by_edit_operation,transposition,3,228,1457,208,0.9122807017543859,621,0.42621825669183255
wikitext2,s1,by_edit_operation,transposition,4,228,1457,208,0.9122807017543859,663,0.455044612216884
wikitext2,s1,by_context_bin,1-2,1,24,150,19,0.7916666666666666,42,0.28
wikitext2,s1,by_context_bin,1-2,2,24,150,19,0.7916666666666666,59,0.3933333333333333
wikitext2,s1,by_context_bin,1-2,3,24,150,20,0.8333333333333334,70,0.4666666666666667
wikitext2,s1,by_context_bin,1-2,4,24,150,20,0.8333333333333334,72,0.48
wikitext2,s1,by_context_bin,11-20,1,403,2592,310,0.7692307692307693,738,0.2847222222222222
wikitext2,s1,by_context_bin,11-20,2,403,2592,345,0.8560794044665012,986,0.38040123456790126
wikitext2,s1,by_context_bin,11-20,3,403,2592,359,0.890818858560794,1095,0.4224537037037037
wikitext2,s1,by_context_bin,11-20,4,403,2592,359,0.890818858560794,1158,0.44675925925925924
wikitext2,s1,by_context_bin,21-50,1,315,2053,235,0.746031746031746,524,0.2552362396492937
wikitext2,s1,by_context_bin,21-50,2,315,2053,263,0.834920634920635,733,0.3570384802727716
wikitext2,s1,by_context_bin,21-50,3,315,2053,268,0.8507936507936508,826,0.4023380418899172
wikitext2,s1,by_context_bin,21-50,4,315,2053,270,0.8571428571428571,864,0.42084754018509496
wikitext2,s1,by_context_bin,3-5,1,33,210,18,0.5454545454545454,61,0.2904761904761905
wikitext2,s1,by_context_bin,3-5,2,33,210,21,0.6363636363636364,74,0.3523809523809524
wikitext2,s1,by_context_bin,3-5,3,33,210,21,0.6363636363636364,78,0.37142857142857144
wikitext2,s1,by_context_bin,3-5,4,33,210,23,0.696969696969697,90,0.42857142857142855
wikitext2,s1,by_context_bin,51+,1,11,71,9,0.8181818181818182,23,0.323943661971831
wikitext2,s1,by_context_bin,51+,2,11,71,9,0.8181818181818182,24,0.3380281690140845
wikitext2,s1,by_context_bin,51+,3,11,71,9,0.8181818181818182,24,0.3380281690140845
wikitext2,s1,by_context_bin,51+,4,11,71,9,0.8181818181818182,26,0.36619718309859156
wikitext2,s1,by_context_bin,6-10,1,116,672,70,0.603448275862069,163,0.2425595238095238
wikitext2,s1,by_context_bin,6-10,2,116,672,82,0.7068965517241379,220,0.3273809523809524
wikitext2,s1,by_context_bin,6-10,3,116,672,87,0.75,250,0.37202380952380953
wikitext2,s1,by_context_bin,6-10,4,116,672,89,0.7672413793103449,268,0.39880952380952384
wikitext2,s2,by_edit_type,deletion+deletion,1,62,449,14,0.22580645161290322,69,0.15367483296213807
wikitext2,s2,by_edit_type,deletion+deletion,2,62,449,19,0.3064516129032258,85,0.18930957683741648
wikitext2,s2,by_edit_type,deletion+deletion,3,62,449,23,0.3709677419354839,97,0.21603563474387527
wikitext2,s2,by_edit_type,deletion+deletion,4,62,449,23,0.3709677419354839,101,0.22494432071269488
wikitext2,s2,by_edit_type,deletion+insertion,1,67,448,41,0.6119402985074627,85,0.18973214285714285
wikitext2,s2,by_edit_type,deletion+insertion,2,67,448,47,0.7014925373134329,115,0.25669642857142855
wikitext2,s2,by_edit_type,deletion+insertion,3,67,448,51,0.7611940298507462,127,0.28348214285714285
wikitext2,s2,by_edit_type,deletion+insertion,4,67,448,53,0.7910447761194029,136,0.30357142857142855
wikitext2,s2,by_edit_type,deletion+substitution,1,56,356,14,0.25,44,0.12359550561797752
wikitext2,s2,by_edit_type,deletion+substitution,2,56,356,22,0.39285714285714285,75,0.21067415730337077
wikitext2,s2,by_edit_type,deletion+substitution,3,56,356,26,0.4642857142857143,94,0.2640449438202247
wikitext2,s2,by_edit_type,deletion+substitution,4,56,356,29,0.5178571428571429,112,0.3146067415730337
wikitext2,s2,by_edit_type,deletion+transposition,1,46,344,19,0.41304347826086957,72,0.20930232558139536
wikitext2,s2,by_edit_type,deletion+transposition,2,46,344,24,0.5217391304347826,97,0.2819767441860465
wikitext2,s2,by_edit_type,deletion+transposition,3,46,344,27,0.5869565217391305,113,0.32848837209302323
wikitext2,s2,by_edit_type,deletion+transposition,4,46,344,27,0.5869565217391305,128,0.37209302325581395
wikitext2,s2,by_edit_type,insertion+deletion,1,41,283,27,0.6585365853658537,59,0.20848056537102475
wikitext2,s2,by_edit_type,insertion+deletion,2,41,283,31,0.7560975609756098,78,0.2756183745583039
wikitext2,s2,by_edit_type,insertion+deletion,3,41,283,32,0.7804878048780488,87,0.30742049469964666
wikitext2,s2,by_edit_type,insertion+deletion,4,41,283,33,0.8048780487804879,94,0.3321554770318021
wikitext2,s2,by_edit_type,insertion+insertion,1,73,429,61,0.8356164383561644,77,0.1794871794871795
wikitext2,s2,by_edit_type,insertion+insertion,2,73,429,66,0.9041095890410958,120,0.27972027972027974
