dataset,strategy,breakdown,group,top_k,total_examples,total_characters,top_k_correct_words,top_k_accuracy,saved_keystrokes,saved_keystroke_ratio
tinystories,s1,by_edit_type,deletion,1,171,898,122,0.7134502923976608,409,0.455456570155902
tinystories,s1,by_edit_type,deletion,2,171,898,136,0.7953216374269005,477,0.5311804008908686
tinystories,s1,by_edit_type,deletion,3,171,898,144,0.8421052631578947,517,0.5757238307349666
tinystories,s1,by_edit_type,deletion,4,171,898,148,0.8654970760233918,543,0.6046770601336303
tinystories,s1,by_edit_type,insertion,1,289,1335,283,0.9792387543252595,566,0.4239700374531835
tinystories,s1,by_edit_type,insertion,2,289,1335,287,0.9930795847750865,685,0.5131086142322098
tinystories,s1,by_edit_type,insertion,3,289,1335,288,0.9965397923875432,740,0.5543071161048689
tinystories,s1,by_edit_type,insertion,4,289,1335,289,1.0,776,0.5812734082397004
tinystories,s1,by_edit_type,substitution,1,275,1247,242,0.88,541,0.433841218925421
tinystories,s1,by_edit_type,substitution,2,275,1247,262,0.9527272727272728,653,0.5236567762630313
tinystories,s1,by_edit_type,substitution,3,275,1247,267,0.9709090909090909,697,0.5589414595028067
tinystories,s1,by_edit_type,substitution,4,275,1247,269,0.9781818181818182,730,0.5854049719326383
tinystories,s1,by_edit_type,transposition,1,264,1286,253,0.9583333333333334,682,0.5303265940902022
tinystories,s1,by_edit_type,transposition,2,264,1286,261,0.9886363636363636,781,0.6073094867807154
tinystories,s1,by_edit_type,transposition,3,264,1286,264,1.0,830,0.645412130637636
tinystories,s1,by_edit_type,transposition,4,264,1286,264,1.0,856,0.6656298600311042
tinystories,s1,by_edit_operation,deletion,1,171,898,122,0.7134502923976608,409,0.455456570155902
tinystories,s1,by_edit_operation,deletion,2,171,898,136,0.7953216374269005,477,0.5311804008908686
tinystories,s1,by_edit_operation,deletion,3,171,898,144,0.8421052631578947,517,0.5757238307349666
tinystories,s1,by_edit_operation,deletion,4,171,898,148,0.8654970760233918,543,0.6046770601336303
tinystories,s1,by_edit_operation,insertion,1,289,1335,283,0.9792387543252595,566,0.4239700374531835
tinystories,s1,by_edit_operation,insertion,2,289,1335,287,0.9930795847750865,685,0.5131086142322098
tinystories,s1,by_edit_operation,insertion,3,289,1335,288,0.9965397923875432,740,0.5543071161048689
tinystories,s1,by_edit_operation,insertion,4,289,1335,289,1.0,776,0.5812734082397004
tinystories,s1,by_edit_operation,substitution,1,275,1247,242,0.88,541,0.433841218925421
tinystories,s1,by_edit_operation,substitution,2,275,1247,262,0.9527272727272728,653,0.5236567762630313
tinystories,s1,by_edit_operation,substitution,3,275,1247,267,0.9709090909090909,697,0.5589414595028067
tinystories,s1,by_edit_operation,substitution,4,275,1247,269,0.9781818181818182,730,0.5854049719326383
tinystories,s1,by_edit_operation,transposition,1,264,1286,253,0.9583333333333334,682,0.5303265940902022
