dataset,strategy,breakdown,group,top_k,total_examples,total_characters,top_k_correct_words,top_k_accuracy,saved_keystrokes,saved_keystroke_ratio
tinystories,s1,by_edit_type,deletion,1,171,898,109,0.6374269005847953,365,0.4064587973273942
tinystories,s1,by_edit_type,deletion,2,171,898,125,0.7309941520467836,435,0.4844097995545657
tinystories,s1,by_edit_type,deletion,3,171,898,134,0.783625730994152,471,0.5244988864142539
tinystories,s1,by_edit_type,deletion,4,171,898,139,0.8128654970760234,501,0.5579064587973274
tinystories,s1,by_edit_type,insertion,1,289,1335,271,0.9377162629757786,576,0.4314606741573034
tinystories,s1,by_edit_type,insertion,2,289,1335,277,0.9584775086505191,684,0.5123595505617977
tinystories,s1,by_edit_type,insertion,3,289,1335,279,0.9653979238754326,729,0.5460674157303371
tinystories,s1,by_edit_type,insertion,4,289,1335,283,0.9792387543252595,754,0.5647940074906367
tinystories,s1,by_edit_type,substitution,1,275,1247,239,0.8690909090909091,499,0.40016038492381717
tinystories,s1,by_edit_type,substitution,2,275,1247,256,0.9309090909090909,614,0.49238171611868486
tinystories,s1,by_edit_type,substitution,3,275,1247,264,0.96,659,0.5284683239775461
tinystories,s1,by_edit_type,substitution,4,275,1247,265,0.9636363636363636,687,0.5509222133119487
tinystories,s1,by_edit_type,transposition,1,264,1286,247,0.9356060606060606,655,0.5093312597200622
tinystories,s1,by_edit_type,transposition,2,264,1286,253,0.9583333333333334,741,0.5762052877138414
tinystories,s1,by_edit_type,transposition,3,264,1286,256,0.9696969696969697,783,0.6088646967340591
tinystories,s1,by_edit_type,transposition,4,264,1286,259,0.9810606060606061,806,0.6267496111975117
tinystories,s1,by_edit_operation,deletion,1,171,898,109,0.6374269005847953,365,0.4064587973273942
tinystories,s1,by_edit_operation,deletion,2,171,898,125,0.7309941520467836,435,0.4844097995545657
tinystories,s1,by_edit_operation,deletion,3,171,898,134,0.783625730994152,471,0.5244988864142539
tinystories,s1,by_edit_operation,deletion,4,171,898,139,0.8128654970760234,501,0.5579064587973274
tinystories,s1,by_edit_operation,insertion,1,289,1335,271,0.9377162629757786,576,0.4314606741573034
tinystories,s1,by_edit_operation,insertion,2,289,1335,277,0.9584775086505191,684,0.5123595505617977
tinystories,s1,by_edit_operation,insertion,3,289,1335,279,0.9653979238754326,729,0.5460674157303371
tinystories,s1,by_edit_operation,insertion,4,289,1335,283,0.9792387543252595,754,0.5647940074906367
tinystories,s1,by_edit_operation,substitution,1,275,1247,239,0.8690909090909091,499,0.40016038492381717
tinystories,s1,by_edit_operation,substitution,2,275,1247,256,0.9309090909090909,614,0.49238171611868486
tinystories,s1,by_edit_operation,substitution,3,275,1247,264,0.96,659,0.5284683239775461
tinystories,s1,by_edit_operation,substitution,4,275,1247,265,0.9636363636363636,687,0.5509222133119487
tinystories,s1,by_edit_operation,transposition,1,264,1286,247,0.9356060606060606,655,0.5093312597200622
tinystories,s1,by_edit_operation,transposition,2,264,1286,253,0.9583333333333334,741,0.5762052877138414
tinystories,s1,by_edit_operation,transposition,3,264,1286,256,0.9696969696969697,783,0.6088646967340591
tinystories,s1,by_edit_operation,transposition,4,264,1286,259,0.9810606060606061,806,0.6267496111975117
tinystories,s1,by_context_bin,1-2,1,77,388,56,0.7272727272727273,96,0.24742268041237114
tinystories,s1,by_context_bin,1-2,2,77,388,61,0.7922077922077922,129,0.3324742268041237
tinystories,s1,by_context_bin,1-2,3,77,388,65,0.8441558441558441,146,0.37628865979381443
tinystories,s1,by_context_bin,1-2,4,77,388,67,0.8701298701298701,159,0.4097938144329897
tinystories,s1,by_context_bin,11-20,1,243,1151,220,0.9053497942386831,617,0.5360556038227628
tinystories,s1,by_context_bin,11-20,2,243,1151,236,0.9711934156378601,709,0.6159860990443093
tinystories,s1,by_context_bin,11-20,3,243,1151,238,0.9794238683127572,743,0.6455256298870548
tinystories,s1,by_context_bin,11-20,4,243,1151,239,0.9835390946502057,759,0.6594265855777585
tinystories,s1,by_context_bin,21-50,1,13,62,13,1.0,32,0.5161290322580645
tinystories,s1,by_context_bin,21-50,2,13,62,13,1.0,37,0.5967741935483871
tinystories,s1,by_context_bin,21-50,3,13,62,13,1.0,41,0.6612903225806451
